Time	Ax	Ay	Az	Temperature
1.383	-6.020	7.446	-2.192	30.001
1.393	-6.010	7.446	-2.216	30.012
1.403	-6.025	7.422	-2.216	30.006
1.413	-6.015	7.431	-2.216	30.012
1.423	-6.034	7.436	-2.225	30.015
1.433	-6.025	7.431	-2.225	30.018
1.443	-6.015	7.427	-2.244	30.006
1.453	-6.029	7.446	-2.211	29.989
1.463	-6.001	7.441	-2.225	29.995
1.473	-6.015	7.460	-2.235	29.986
1.483	-6.034	7.450	-2.211	29.995
1.493	-6.029	7.427	-2.235	30.001
1.504	-6.029	7.431	-2.239	29.998
1.514	-6.020	7.450	-2.225	30.006
1.524	-5.996	7.431	-2.230	30.012
1.534	-6.010	7.455	-2.196	29.998
1.544	-6.025	7.455	-2.196	30.004
1.554	-6.020	7.470	-2.211	30.009
1.564	-5.996	7.460	-2.206	29.992
1.574	-6.015	7.441	-2.196	30.001
1.584	-6.015	7.417	-2.182	29.998
1.594	-6.010	7.436	-2.216	29.998
1.604	-6.020	7.431	-2.211	30.015
1.614	-6.044	7.441	-2.192	30.021
1.624	-6.029	7.450	-2.192	30.004
1.634	-6.034	7.441	-2.235	30.001
1.644	-6.020	7.455	-2.211	30.012
1.655	-6.010	7.450	-2.216	30.009
1.664	-6.025	7.455	-2.172	30.004
1.674	-6.034	7.427	-2.192	29.998
1.684	-6.025	7.427	-2.216	29.983
1.694	-6.025	7.441	-2.235	29.983
1.704	-6.015	7.427	-2.216	29.998
1.714	-6.015	7.441	-2.192	30.012
1.725	-6.034	7.450	-2.177	30.009
1.735	-6.029	7.450	-2.192	30.004
1.745	-6.034	7.455	-2.201	29.998
1.755	-6.020	7.446	-2.216	30.004
1.765	-6.010	7.412	-2.244	29.995
1.774	-6.029	7.403	-2.249	30.001
1.785	-6.025	7.417	-2.244	29.998
1.795	-6.005	7.460	-2.211	30.006
1.805	-6.005	7.470	-2.211	30.001
1.815	-6.039	7.446	-2.239	29.995
1.825	-6.015	7.446	-2.235	29.995
1.835	-6.005	7.436	-2.239	30.001
1.845	-6.001	7.446	-2.230	30.001
1.855	-6.001	7.441	-2.211	29.995
1.865	-6.020	7.446	-2.192	29.998
1.875	-6.015	7.441	-2.177	30.001
1.885	-6.010	7.446	-2.177	30.006
1.895	-6.029	7.455	-2.192	30.001
1.905	-6.020	7.470	-2.230	30.001
1.915	-6.025	7.431	-2.225	29.995
1.925	-6.010	7.436	-2.206	30.004
1.935	-6.010	7.431	-2.201	29.986
1.945	-6.005	7.450	-2.182	29.989
1.955	-6.001	7.455	-2.153	29.998
1.965	-6.044	7.441	-2.158	30.004
1.975	-6.029	7.441	-2.196	29.983
1.985	-6.029	7.465	-2.225	29.998
1.995	-6.029	7.441	-2.249	29.998
2.006	-6.025	7.441	-2.192	29.998
2.016	-6.029	7.427	-2.177	30.004
