Time	Wx	Wy	Wz	Temperature
1.444	0.000	0.000	-0.061	30.006
1.453	0.000	0.000	0.000	29.989
1.464	0.000	0.061	0.000	29.995
1.474	0.000	0.000	0.000	29.986
1.484	0.000	0.000	-0.061	29.995
1.494	0.000	0.000	-0.061	30.001
1.504	0.000	-0.061	-0.061	29.998
1.514	0.000	-0.061	-0.122	30.006
1.524	0.000	-0.122	-0.061	30.012
1.534	0.000	-0.122	-0.061	29.998
1.544	0.000	-0.061	0.000	30.004
1.554	0.000	0.000	0.000	30.009
1.564	0.000	-0.061	-0.061	29.992
1.574	0.000	-0.122	-0.061	30.001
1.584	0.000	-0.183	-0.122	29.998
1.594	0.000	-0.061	-0.061	29.998
1.604	0.000	0.000	0.000	30.015
1.614	0.000	-0.061	0.000	30.021
1.624	-0.061	-0.061	-0.061	30.004
1.634	0.000	0.000	-0.061	30.001
1.644	0.061	0.061	0.000	30.012
1.655	0.000	0.061	0.061	30.009
1.664	0.061	0.061	0.000	30.004
1.674	0.061	0.061	-0.061	29.998
1.685	0.061	0.122	0.000	29.983
1.695	0.061	0.122	0.061	29.983
1.705	0.000	0.122	0.000	29.998
1.715	0.000	0.061	0.000	30.012
1.725	0.000	0.061	0.061	30.009
1.735	0.061	0.122	0.122	30.004
1.745	0.061	0.183	0.122	29.998
1.755	0.000	0.183	0.122	30.004
1.765	0.000	0.122	0.000	29.995
1.775	0.000	0.061	0.000	30.001
1.785	0.000	0.061	0.061	29.998
1.795	0.000	0.061	0.061	30.006
1.805	0.000	0.061	0.122	30.001
1.815	0.000	0.000	0.061	29.995
1.825	0.000	-0.061	-0.061	29.995
1.835	0.000	-0.061	-0.061	30.001
1.845	0.000	-0.122	-0.122	30.001
1.855	0.000	-0.122	-0.122	29.995
1.865	-0.061	-0.183	-0.122	29.998
1.875	0.000	-0.122	-0.061	30.001
1.885	0.000	-0.061	0.000	30.006
1.895	0.000	0.000	0.000	30.001
1.905	0.000	0.000	-0.061	30.001
1.915	0.061	0.000	0.000	29.995
1.925	-0.061	0.000	-0.061	30.004
1.935	0.000	-0.061	-0.061	29.986
1.945	0.000	-0.122	-0.061	29.989
1.955	-0.061	-0.061	-0.061	29.998
1.965	0.000	0.000	-0.061	30.004
1.975	0.061	0.122	0.061	29.983
1.985	0.000	0.061	0.061	29.998
1.995	0.000	0.000	-0.061	29.998
2.006	0.000	-0.122	-0.183	29.998
2.016	-0.061	-0.061	-0.122	30.004
