Time	Dx	Dy	Dz	Temperature
1.525	106.496	37.837	0.000	30.012
1.535	106.496	37.837	0.000	29.998
1.545	106.496	37.831	0.000	30.004
1.554	106.496	37.831	0.000	30.009
1.565	106.496	37.831	0.000	29.992
1.575	106.496	37.831	0.000	30.001
1.585	106.490	37.831	0.000	29.998
1.595	106.490	37.831	0.000	29.998
1.604	106.490	37.831	0.000	30.015
1.614	106.490	37.837	0.000	30.021
1.624	106.490	37.837	0.000	30.004
1.634	106.490	37.837	0.000	30.001
1.645	106.490	37.837	0.000	30.012
1.655	106.496	37.831	0.000	30.009
1.664	106.490	37.831	0.000	30.004
1.674	106.490	37.837	0.000	29.998
1.685	106.496	37.837	0.000	29.983
1.695	106.501	37.831	0.000	29.983
1.705	106.501	37.831	0.000	29.998
1.715	106.501	37.831	0.000	30.012
1.725	106.501	37.831	0.000	30.009
1.735	106.501	37.831	0.000	30.004
1.745	106.501	37.831	0.000	29.998
1.755	106.501	37.826	0.000	30.004
1.765	106.507	37.826	0.000	29.995
1.775	106.512	37.826	0.000	30.001
1.785	106.512	37.826	0.000	29.998
1.795	106.512	37.826	0.000	30.006
1.805	106.512	37.820	0.000	30.001
1.815	106.518	37.820	0.000	29.995
1.825	106.518	37.820	0.000	29.995
1.835	106.518	37.820	0.000	30.001
1.845	106.523	37.820	0.000	30.001
1.855	106.518	37.820	0.000	29.995
1.865	106.518	37.820	0.000	29.998
1.875	106.512	37.826	0.000	30.001
1.885	106.512	37.826	0.000	30.006
1.895	106.512	37.820	0.000	30.001
1.906	106.512	37.820	0.000	30.001
1.915	106.512	37.820	0.000	29.995
1.926	106.512	37.820	0.000	30.004
1.936	106.512	37.820	0.000	29.986
1.946	106.512	37.820	0.000	29.989
1.955	106.507	37.820	0.000	29.998
1.965	106.501	37.826	0.000	30.004
1.975	106.501	37.826	0.000	29.983
1.985	106.507	37.820	0.000	29.998
1.996	106.507	37.826	0.000	29.998
2.006	106.507	37.826	0.000	29.998
2.016	106.501	37.826	0.000	30.004
