Time	Wx	Wy	Wz	Temperature
1.457	0.000	0.000	-0.061	29.006
1.467	-0.061	0.000	0.061	29.001
1.477	0.000	0.000	0.061	29.001
1.487	0.061	0.000	0.061	28.983
1.497	0.061	0.000	0.122	29.004
1.507	0.061	0.000	0.000	28.992
1.517	0.000	0.000	-0.061	28.995
1.527	0.000	0.000	-0.061	29.009
1.537	-0.061	0.000	0.061	29.006
1.547	0.000	0.000	0.061	29.004
1.557	0.000	0.000	0.000	29.004
1.567	0.000	0.000	0.061	29.001
1.578	0.000	0.000	-0.061	29.009
1.588	0.000	0.000	-0.061	29.015
1.597	-0.061	0.000	0.061	29.015
1.607	-0.061	0.000	0.000	29.021
1.617	-0.061	0.000	0.061	29.018
1.628	-0.061	0.000	0.061	28.998
1.639	0.000	0.000	0.061	29.009
1.649	0.061	-0.061	-0.061	29.009
1.659	0.061	-0.061	-0.061	29.004
1.668	0.000	0.000	0.122	29.012
1.679	0.000	-0.061	0.061	29.004
1.688	0.000	0.000	-0.061	29.009
1.698	0.000	0.000	0.061	29.006
1.709	0.061	-0.061	0.000	29.018
1.719	0.061	-0.061	0.000	29.001
1.729	0.061	0.000	0.061	29.009
1.738	0.000	0.000	-0.061	29.001
1.748	0.000	-0.061	-0.061	28.998
1.759	-0.061	0.000	-0.061	29.001
1.769	0.000	0.000	0.000	29.001
1.779	0.000	0.000	0.122	29.006
1.790	0.061	0.000	0.061	29.012
1.799	0.061	-0.061	0.061	29.006
1.809	0.061	-0.061	0.000	29.001
1.819	0.000	-0.061	-0.061	28.998
1.829	0.000	-0.061	0.000	28.995
1.839	0.000	0.000	0.000	29.001
1.849	0.000	0.000	0.061	29.006
1.859	0.000	0.000	0.061	29.012
1.869	0.000	-0.061	0.122	29.012
1.879	0.061	0.000	0.000	29.006
1.889	0.061	-0.061	-0.061	29.006
1.899	0.000	-0.061	0.000	29.001
1.910	0.000	-0.061	0.000	29.009
1.920	-0.061	0.000	0.000	29.009
1.930	0.000	0.000	0.000	29.018
1.940	0.000	0.000	0.061	29.015
1.949	0.061	0.000	0.061	29.006
1.960	0.000	-0.061	0.000	29.015
1.970	0.000	-0.061	0.061	29.027
1.980	0.000	0.000	0.000	29.015
1.990	-0.061	0.000	0.000	29.021
2.000	0.000	0.000	0.061	29.006
2.010	-0.061	0.000	0.183	29.021
