Time	Dx	Dy	Dz	Temperature
1.376	38.315	-62.490	-1.390	29.012
1.386	38.315	-62.490	-1.390	29.027
1.397	38.309	-62.490	-1.390	29.027
1.407	38.309	-62.490	-1.390	29.024
1.417	38.309	-62.490	-1.390	29.018
1.427	38.309	-62.490	-1.390	29.018
1.437	38.309	-62.490	-1.390	29.012
1.448	38.309	-62.490	-1.390	29.006
1.458	38.309	-62.490	-1.390	29.006
1.468	38.304	-62.490	-1.390	29.001
1.478	38.298	-62.490	-1.390	29.001
1.488	38.298	-62.490	-1.390	28.983
1.497	38.298	-62.490	-1.390	29.004
1.507	38.298	-62.490	-1.390	28.992
1.517	38.298	-62.490	-1.390	28.995
1.528	38.298	-62.485	-1.390	29.009
1.538	38.298	-62.485	-1.390	29.006
1.547	38.304	-62.485	-1.390	29.004
1.557	38.304	-62.485	-1.390	29.004
1.567	38.304	-62.485	-1.390	29.001
1.578	38.304	-62.485	-1.390	29.009
1.588	38.304	-62.485	-1.390	29.015
1.598	38.304	-62.485	-1.390	29.015
1.608	38.304	-62.485	-1.390	29.021
1.617	38.309	-62.485	-1.390	29.018
1.628	38.309	-62.485	-1.390	28.998
1.639	38.309	-62.485	-1.390	29.009
1.650	38.309	-62.485	-1.390	29.009
1.659	38.315	-62.485	-1.390	29.004
1.668	38.309	-62.485	-1.390	29.012
1.679	38.309	-62.485	-1.390	29.004
1.689	38.309	-62.485	-1.390	29.009
1.699	38.309	-62.485	-1.390	29.006
1.709	38.309	-62.485	-1.390	29.018
1.719	38.309	-62.485	-1.390	29.001
1.729	38.309	-62.485	-1.390	29.009
1.739	38.315	-62.485	-1.390	29.001
1.749	38.315	-62.485	-1.390	28.998
1.760	38.315	-62.485	-1.390	29.001
1.769	38.315	-62.485	-1.390	29.001
1.779	38.315	-62.479	-1.390	29.006
1.790	38.315	-62.479	-1.390	29.012
1.799	38.315	-62.485	-1.390	29.006
1.810	38.315	-62.485	-1.390	29.001
1.820	38.320	-62.485	-1.390	28.998
1.830	38.320	-62.485	-1.390	28.995
1.840	38.320	-62.490	-1.390	29.001
1.849	38.320	-62.485	-1.390	29.006
1.860	38.326	-62.490	-1.390	29.012
1.870	38.320	-62.490	-1.390	29.012
1.879	38.320	-62.485	-1.390	29.006
1.889	38.320	-62.485	-1.390	29.006
1.899	38.320	-62.485	-1.390	29.001
1.910	38.326	-62.490	-1.390	29.009
1.920	38.326	-62.490	-1.390	29.009
1.930	38.326	-62.490	-1.390	29.018
1.940	38.320	-62.490	-1.390	29.015
1.950	38.320	-62.490	-1.390	29.006
1.961	38.320	-62.490	-1.390	29.015
1.971	38.320	-62.490	-1.390	29.027
1.981	38.320	-62.490	-1.390	29.015
1.991	38.320	-62.490	-1.390	29.021
2.001	38.315	-62.490	-1.390	29.006
2.011	38.309	-62.490	-1.390	29.021
2.021	38.309	-62.490	-1.390	29.018
2.031	38.309	-62.485	-1.390	29.006
2.041	38.315	-62.490	-1.390	29.001
2.051	38.315	-62.490	-1.390	28.995
2.061	38.315	-62.490	-1.390	28.995
2.070	38.315	-62.490	-1.390	28.995
2.081	38.315	-62.490	-1.390	28.989
2.091	38.309	-62.490	-1.390	28.989
2.101	38.309	-62.490	-1.390	28.989
2.111	38.309	-62.490	-1.390	29.001
2.121	38.315	-62.490	-1.390	29.006
2.131	38.315	-62.490	-1.390	29.021
2.141	38.315	-62.490	-1.390	29.030
2.151	38.309	-62.490	-1.390	29.024
2.161	38.309	-62.490	-1.390	29.009
2.172	38.304	-62.490	-1.390	29.012
2.181	38.304	-62.490	-1.390	29.009
2.191	38.309	-62.490	-1.390	29.015
2.201	38.309	-62.490	-1.390	29.012
2.212	38.309	-62.490	-1.390	29.009
2.221	38.309	-62.485	-1.390	29.018
2.231	38.309	-62.485	-1.390	29.009
2.241	38.309	-62.485	-1.390	28.995
2.252	38.304	-62.485	-1.390	28.989
2.261	38.304	-62.485	-1.390	28.995
2.271	38.304	-62.485	-1.390	29.006
2.281	38.304	-62.485	-1.390	29.027
2.293	38.304	-62.485	-1.390	29.030
2.302	38.304	-62.485	-1.390	29.004
2.312	38.298	-62.485	-1.390	29.001
2.322	38.304	-62.485	-1.390	29.006
2.331	38.304	-62.485	-1.390	29.004
2.341	38.304	-62.485	-1.390	29.004
2.352	38.304	-62.485	-1.390	29.012
2.362	38.304	-62.485	-1.390	29.018
2.372	38.304	-62.479	-1.390	29.018
2.382	38.304	-62.485	-1.390	29.024
2.392	38.304	-62.485	-1.390	29.009
2.402	38.304	-62.485	-1.390	28.998
2.413	38.309	-62.485	-1.390	28.992
2.423	38.309	-62.485	-1.390	28.983
2.432	38.309	-62.485	-1.390	28.998
2.442	38.304	-62.479	-1.390	29.018
2.452	38.298	-62.479	-1.390	29.027
2.462	38.298	-62.479	-1.390	29.021
2.473	38.298	-62.485	-1.390	29.015
2.483	38.298	-62.485	-1.390	29.015
2.493	38.298	-62.485	-1.390	29.004
2.503	38.298	-62.485	-1.390	29.012
2.513	38.293	-62.485	-1.390	29.015
2.523	38.293	-62.485	-1.390	29.018
2.533	38.293	-62.485	-1.390	29.009
2.543	38.287	-62.485	-1.390	29.001
2.553	38.287	-62.485	-1.390	28.998
2.563	38.287	-62.485	-1.390	29.006
2.573	38.287	-62.485	-1.390	29.006
2.583	38.293	-62.485	-1.390	29.009
2.593	38.293	-62.485	-1.390	29.021
2.603	38.287	-62.485	-1.390	29.015
2.613	38.287	-62.485	-1.390	29.015
2.622	38.293	-62.485	-1.390	29.009
2.632	38.293	-62.485	-1.390	29.027
2.642	38.293	-62.485	-1.390	29.027
2.652	38.293	-62.485	-1.390	29.027
2.662	38.293	-62.485	-1.390	29.018
2.672	38.293	-62.485	-1.390	29.015
2.682	38.293	-62.485	-1.390	29.009
2.692	38.293	-62.485	-1.390	29.009
2.702	38.293	-62.485	-1.390	29.001
2.712	38.293	-62.485	-1.390	29.012
2.722	38.293	-62.485	-1.390	29.009
2.732	38.298	-62.485	-1.390	29.012
2.742	38.298	-62.485	-1.390	29.015
2.753	38.298	-62.485	-1.390	29.021
2.762	38.298	-62.485	-1.390	29.018
2.772	38.298	-62.485	-1.390	29.009
2.782	38.298	-62.485	-1.390	29.015
2.794	38.298	-62.485	-1.390	29.001
2.803	38.298	-62.485	-1.390	29.009
2.813	38.298	-62.485	-1.390	29.015
2.822	38.304	-62.485	-1.390	29.012
2.833	38.304	-62.485	-1.390	29.015
2.842	38.304	-62.485	-1.390	28.992
2.853	38.304	-62.485	-1.390	28.983
2.863	38.304	-62.485	-1.390	29.001
2.873	38.298	-62.485	-1.390	28.998
2.883	38.298	-62.485	-1.390	29.001
2.894	38.304	-62.485	-1.390	28.998
2.904	38.304	-62.485	-1.390	29.001
2.914	38.304	-62.485	-1.390	29.004
2.924	38.304	-62.485	-1.390	29.004
2.934	38.304	-62.485	-1.390	29.021
2.944	38.304	-62.485	-1.390	29.018
2.954	38.309	-62.479	-1.390	29.024
2.964	38.304	-62.479	-1.390	29.027
2.974	38.304	-62.479	-1.390	29.006
2.984	38.304	-62.485	-1.390	29.009
2.994	38.304	-62.485	-1.390	29.021
3.004	38.304	-62.485	-1.390	29.018
3.013	38.304	-62.479	-1.390	29.015
3.024	38.298	-62.479	-1.390	29.015
3.034	38.298	-62.479	-1.390	29.015
3.044	38.298	-62.474	-1.390	29.001
3.054	38.293	-62.474	-1.390	29.012
3.064	38.293	-62.474	-1.390	29.015
3.074	38.293	-62.474	-1.390	29.012
3.083	38.298	-62.474	-1.390	29.021
3.093	38.293	-62.474	-1.390	29.027
3.103	38.298	-62.474	-1.390	29.012
3.114	38.298	-62.474	-1.390	29.004
3.124	38.293	-62.474	-1.390	29.001
