Time	Ax	Ay	Az	Temperature
1.527	8.843	2.862	3.632	29.009
1.537	8.853	2.871	3.613	29.006
1.547	8.838	2.890	3.618	29.004
1.557	8.838	2.862	3.618	29.004
1.567	8.843	2.857	3.632	29.001
1.577	8.853	2.862	3.622	29.009
1.587	8.843	2.852	3.598	29.015
1.597	8.833	2.857	3.598	29.015
1.607	8.843	2.881	3.608	29.021
1.617	8.833	2.881	3.603	29.018
1.628	8.838	2.876	3.603	28.998
1.638	8.838	2.866	3.622	29.009
1.648	8.838	2.871	3.642	29.009
1.658	8.833	2.862	3.618	29.004
1.667	8.833	2.852	3.637	29.012
1.678	8.862	2.871	3.613	29.004
1.688	8.867	2.852	3.627	29.009
1.698	8.853	2.871	3.632	29.006
1.708	8.848	2.876	3.632	29.018
1.718	8.853	2.857	3.632	29.001
1.728	8.857	2.862	3.608	29.009
1.738	8.848	2.876	3.642	29.001
1.748	8.833	2.876	3.618	28.998
1.759	8.843	2.866	3.618	29.001
1.768	8.833	2.866	3.622	29.001
1.778	8.838	2.881	3.642	29.006
1.789	8.853	2.876	3.618	29.012
1.798	8.857	2.862	3.637	29.006
1.809	8.862	2.847	3.608	29.001
1.819	8.848	2.857	3.618	28.998
1.829	8.853	2.847	3.598	28.995
1.839	8.853	2.866	3.594	29.001
1.848	8.848	2.876	3.622	29.006
1.859	8.838	2.866	3.603	29.012
1.869	8.857	2.866	3.632	29.012
1.879	8.857	2.871	3.642	29.006
1.889	8.853	2.866	3.642	29.006
1.899	8.848	2.838	3.622	29.001
1.909	8.843	2.866	3.608	29.009
1.919	8.829	2.871	3.608	29.009
1.929	8.843	2.852	3.618	29.018
1.939	8.843	2.838	3.618	29.015
1.949	8.853	2.857	3.632	29.006
1.960	8.848	2.857	3.608	29.015
1.969	8.853	2.862	3.622	29.027
1.979	8.833	2.857	3.618	29.015
1.989	8.843	2.862	3.622	29.021
1.999	8.853	2.871	3.651	29.006
2.009	8.829	2.857	3.642	29.021
2.019	8.848	2.866	3.637	29.018
2.029	8.829	2.881	3.642	29.006
2.039	8.838	2.847	3.603	29.001
2.049	8.833	2.857	3.594	28.995
2.059	8.843	2.862	3.622	28.995
2.069	8.848	2.876	3.627	28.995
2.079	8.843	2.847	3.613	28.989
2.089	8.843	2.852	3.632	28.989
2.099	8.857	2.847	3.608	28.989
2.109	8.862	2.857	3.632	29.001
2.120	8.862	2.871	3.618	29.006
2.130	8.857	2.862	3.618	29.021
2.140	8.853	2.857	3.632	29.030
2.150	8.833	2.862	3.637	29.024
2.160	8.838	2.862	3.632	29.009
2.170	8.829	2.838	3.632	29.012
2.180	8.857	2.862	3.632	29.009
2.190	8.824	2.862	3.603	29.015
2.200	8.819	2.862	3.627	29.012
2.210	8.809	2.871	3.618	29.009
2.220	8.829	2.876	3.642	29.018
2.230	8.829	2.871	3.618	29.009
2.240	8.843	2.862	3.613	28.995
2.250	8.857	2.852	3.646	28.989
2.260	8.843	2.866	3.642	28.995
2.270	8.843	2.862	3.637	29.006
2.280	8.838	2.871	3.642	29.027
2.291	8.843	2.876	3.637	29.030
2.300	8.824	2.866	3.632	29.004
2.311	8.843	2.847	3.613	29.001
2.320	8.838	2.871	3.608	29.006
2.330	8.838	2.857	3.622	29.004
2.340	8.838	2.866	3.627	29.004
2.351	8.843	2.876	3.608	29.012
2.361	8.853	2.876	3.627	29.018
2.371	8.843	2.871	3.646	29.018
2.381	8.853	2.871	3.618	29.024
2.391	8.857	2.857	3.618	29.009
2.401	8.857	2.857	3.627	28.998
2.411	8.833	2.866	3.627	28.992
2.421	8.833	2.866	3.622	28.983
2.431	8.838	2.847	3.618	28.998
2.441	8.833	2.852	3.661	29.018
2.451	8.838	2.857	3.646	29.027
2.461	8.848	2.852	3.618	29.021
2.471	8.848	2.842	3.618	29.015
2.482	8.867	2.852	3.613	29.015
2.491	8.872	2.862	3.622	29.004
2.501	8.853	2.857	3.618	29.012
2.512	8.848	2.847	3.665	29.015
2.522	8.857	2.876	3.637	29.018
2.532	8.843	2.862	3.651	29.009
2.542	8.829	2.866	3.646	29.001
2.552	8.838	2.866	3.608	28.998
2.561	8.853	2.852	3.618	29.006
2.572	8.862	2.847	3.613	29.006
2.581	8.853	2.871	3.627	29.009
2.591	8.853	2.852	3.608	29.021
2.601	8.853	2.852	3.603	29.015
2.611	8.843	2.866	3.613	29.015
2.621	8.843	2.852	3.608	29.009
2.631	8.833	2.871	3.608	29.027
2.641	8.843	2.871	3.627	29.027
2.652	8.848	2.862	3.613	29.027
2.662	8.838	2.847	3.613	29.018
2.672	8.843	2.862	3.632	29.015
2.682	8.824	2.866	3.627	29.009
2.692	8.829	2.866	3.637	29.009
2.701	8.853	2.866	3.627	29.001
2.712	8.848	2.852	3.618	29.012
2.721	8.838	2.866	3.613	29.009
2.732	8.853	2.871	3.608	29.012
2.742	8.848	2.876	3.594	29.015
2.752	8.853	2.871	3.622	29.021
2.762	8.833	2.862	3.632	29.018
2.772	8.833	2.876	3.622	29.009
2.782	8.843	2.857	3.622	29.015
2.793	8.829	2.852	3.627	29.001
2.802	8.814	2.857	3.594	29.009
2.812	8.824	2.866	3.608	29.015
2.821	8.843	2.866	3.618	29.012
2.832	8.843	2.876	3.632	29.015
2.842	8.853	2.876	3.594	28.992
2.852	8.843	2.852	3.618	28.983
2.862	8.824	2.862	3.642	29.001
2.872	8.853	2.847	3.627	28.998
2.882	8.857	2.852	3.618	29.001
2.892	8.848	2.862	3.598	28.998
2.903	8.824	2.871	3.637	29.001
2.913	8.848	2.881	3.646	29.004
2.923	8.819	2.862	3.627	29.004
2.933	8.848	2.885	3.622	29.021
2.943	8.843	2.857	3.618	29.018
2.953	8.843	2.876	3.632	29.024
2.963	8.848	2.871	3.632	29.027
2.973	8.824	2.871	3.618	29.006
2.983	8.838	2.842	3.613	29.009
